[citi] proxy: none (direct). If Excel needs a proxy, set HTTPS_PROXY or pass --proxy host:port.
============================================================
[citi] UID  : http://localhost:8198/    (serves UnifiedPricer.html)
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=252
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=252
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=255
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=255
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=260
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=260
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=263
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=263
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=269
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=269
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=275
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=275
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=277
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=277
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=283
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=283
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=291
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=291
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=295
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=295
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=300
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=300
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=306
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=306
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=308
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=308
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=310
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=310
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=316
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=316
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=321
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=321
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=325
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=325
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=328
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=328
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=337
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=337
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=345
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=345
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=355
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=355
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=362
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=362
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=369
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=369
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=377
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=377
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=383
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=383
