date,product,expiry,tenor,leg,value
2020-07-07 00:00:00,swap_par,,20Y,,0.590256
2020-07-07 00:00:00,swap_par,,25Y,,0.611831
2020-07-07 00:00:00,swap_par,,2Y,,0.008076
2020-07-07 00:00:00,swap_par,,30Y,,0.61745
2020-07-07 00:00:00,swap_par,,3Y,,0.002474
2020-07-07 00:00:00,swap_par,,40Y,,0.581636
2020-07-07 00:00:00,swap_par,,4Y,,0.029912
2020-07-07 00:00:00,swap_par,,5Y,,0.080208
2020-07-07 00:00:00,swap_par,,6M,,0.068391
2020-07-07 00:00:00,swap_par,,6Y,,0.143938
2020-07-07 00:00:00,swap_par,,7Y,,0.208401
2020-07-07 00:00:00,swap_par,,8Y,,0.267607
2020-07-07 00:00:00,swap_par,,9Y,,0.320714
2021-04-05 00:00:00,swap_par,,10Y,,1.49561
2021-04-05 00:00:00,swap_par,,12Y,,1.62454
2021-04-05 00:00:00,swap_par,,15Y,,1.74304
2021-04-05 00:00:00,swap_par,,1Y,,0.043425
2021-04-05 00:00:00,swap_par,,20Y,,1.83217
2021-04-05 00:00:00,swap_par,,25Y,,1.85996
2021-04-05 00:00:00,swap_par,,2Y,,0.125891
2021-04-05 00:00:00,swap_par,,30Y,,1.86461
2021-04-05 00:00:00,swap_par,,3Y,,0.330046
2021-04-05 00:00:00,swap_par,,40Y,,1.80396
2021-04-05 00:00:00,swap_par,,4Y,,0.584763
2021-04-05 00:00:00,swap_par,,5Y,,0.824838
2021-04-05 00:00:00,swap_par,,6M,,0.028958
2021-04-05 00:00:00,swap_par,,6Y,,1.02779
2021-04-05 00:00:00,swap_par,,7Y,,1.18753
2021-04-05 00:00:00,swap_par,,8Y,,1.31366
2021-04-05 00:00:00,swap_par,,9Y,,1.41299
2021-12-30 00:00:00,swap_par,,10Y,,1.32053
2021-12-30 00:00:00,swap_par,,12Y,,1.37937
2021-12-30 00:00:00,swap_par,,15Y,,1.4378
2021-12-30 00:00:00,swap_par,,1Y,,0.396162
2021-12-30 00:00:00,swap_par,,20Y,,1.49447
2021-12-30 00:00:00,swap_par,,25Y,,1.49011
2021-12-30 00:00:00,swap_par,,2Y,,0.736441
2021-12-30 00:00:00,swap_par,,30Y,,1.47161
2021-12-30 00:00:00,swap_par,,3Y,,0.944999
2021-12-30 00:00:00,swap_par,,40Y,,1.36304
2021-12-30 00:00:00,swap_par,,4Y,,1.05443
2021-12-30 00:00:00,swap_par,,5Y,,1.1245
2021-12-30 00:00:00,swap_par,,6M,,0.195405
2021-12-30 00:00:00,swap_par,,6Y,,1.17626
2021-12-30 00:00:00,swap_par,,7Y,,1.22002
