date,name
1989-04-24,Chol HaMoed Pesach
1989-04-25,Chol HaMoed Pesach
1989-04-26,Pesach VII
1989-04-27,Pesach VIII
1989-05-02,Yom HaShoah
1989-05-09,Yom HaZikaron
1989-05-10,Yom HaAtzmaut
1989-05-23,Lag B'Omer
1989-06-02,Yom Yerushalayim
1989-06-09,Shavuot I
1989-06-10,Shavuot II
1989-07-20,Fast of 17 Tammuz
1989-08-10,Tisha B'Av
1989-08-16,Tu B'Av
1989-09-30,Rosh Hashanah I
1989-10-01,Rosh Hashanah II
1989-10-02,Fast of Gedaliah
1989-10-09,Yom Kippur
1989-10-14,Sukkot I
1989-10-15,Sukkot II
1989-10-16,Chol HaMoed Sukkot
1989-10-17,Chol HaMoed Sukkot
1989-10-18,Chol HaMoed Sukkot
1989-10-19,Chol HaMoed Sukkot
1989-10-20,Hoshana Rabbah
1989-10-21,Shemini Atzeret
1989-10-22,Simchat Torah
1989-12-23,Chanukah Day 1
1989-12-24,Chanukah Day 2
1989-12-25,Chanukah Day 3
1989-12-26,Chanukah Day 4
1989-12-27,Chanukah Day 5
1989-12-28,Chanukah Day 6
1989-12-29,Chanukah Day 7
1989-12-30,Chanukah Day 8
1990-01-07,Fast of 10 Tevet
1990-02-10,Tu BiShvat
1990-03-08,Fast of Esther
1990-03-11,Purim
1990-03-12,Shushan Purim
1990-04-10,Pesach I
1990-04-11,Pesach II
1990-04-12,Chol HaMoed Pesach
1990-04-13,Chol HaMoed Pesach
1990-04-14,Chol HaMoed Pesach
1990-04-15,Chol HaMoed Pesach
1990-04-16,Pesach VII
1990-04-17,Pesach VIII
1990-04-23,Yom HaShoah
1990-04-30,Yom HaZikaron
1990-05-01,Yom HaAtzmaut
1990-05-13,Lag B'Omer
1990-05-23,Yom Yerushalayim
1990-05-30,Shavuot I
1990-05-31,Shavuot II
1990-07-10,Fast of 17 Tammuz
1990-07-31,Tisha B'Av
1990-08-06,Tu B'Av
1990-09-20,Rosh Hashanah I
1990-09-21,Rosh Hashanah II
1990-09-23,Fast of Gedaliah
1990-09-29,Yom Kippur
1990-10-04,Sukkot I
1990-10-05,Sukkot II
1990-10-06,Chol HaMoed Sukkot
1990-10-07,Chol HaMoed Sukkot
1990-10-08,Chol HaMoed Sukkot
1990-10-09,Chol HaMoed Sukkot
1990-10-10,Hoshana Rabbah
1990-10-11,Shemini Atzeret
1990-10-12,Simchat Torah
1990-12-12,Chanukah Day 1
1990-12-13,Chanukah Day 2
1990-12-14,Chanukah Day 3
1990-12-15,Chanukah Day 4
1990-12-16,Chanukah Day 5
1990-12-17,Chanukah Day 6
1990-12-18,Chanukah Day 7
1990-12-19,Chanukah Day 8
1990-12-27,Fast of 10 Tevet
1991-01-30,Tu BiShvat
1991-02-27,Fast of Esther
1991-02-28,Purim
1991-03-01,Shushan Purim
1991-03-30,Pesach I
1991-03-31,Pesach II
1991-04-01,Chol HaMoed Pesach
1991-04-02,Chol HaMoed Pesach
1991-04-03,Chol HaMoed Pesach
1991-04-04,Chol HaMoed Pesach
1991-04-05,Pesach VII
1991-04-06,Pesach VIII
1991-04-11,Yom HaShoah
1991-04-17,Yom HaZikaron
1991-04-18,Yom HaAtzmaut
1991-05-02,Lag B'Omer
1991-05-12,Yom Yerushalayim
1991-05-19,Shavuot I
1991-05-20,Shavuot II
1991-06-30,Fast of 17 Tammuz
1991-07-21,Tisha B'Av
1991-07-26,Tu B'Av
