date,name
1998-05-01,Labour Day
1998-12-24,Christmas Eve
1998-12-25,Christmas
1998-12-31,New Year's Eve
1999-01-01,New Year's Day
1999-04-02,Good Friday
1999-04-05,Easter Monday
1999-12-24,Christmas Eve
1999-12-31,New Year's Eve
2000-04-21,Good Friday
2000-04-24,Easter Monday
2000-05-01,Labour Day
2000-12-25,Christmas
2000-12-26,Boxing Day
2001-01-01,New Year's Day
2001-04-13,Good Friday
2001-04-16,Easter Monday
2001-05-01,Labour Day
2001-12-24,Christmas Eve
2001-12-25,Christmas
2001-12-26,Boxing Day
2001-12-31,New Year's Eve
2002-01-01,New Year's Day
2002-03-29,Good Friday
2002-04-01,Easter Monday
2002-05-01,Labour Day
2002-12-24,Christmas Eve
2002-12-25,Christmas
2002-12-26,Boxing Day
2002-12-31,New Year's Eve
2003-01-01,New Year's Day
2003-04-18,Good Friday
2003-04-21,Easter Monday
2003-05-01,Labour Day
2003-12-24,Christmas Eve
2003-12-25,Christmas
2003-12-26,Boxing Day
2003-12-31,New Year's Eve
2004-01-01,New Year's Day
2004-04-09,Good Friday
2004-04-12,Easter Monday
2004-12-24,Christmas Eve
2004-12-31,New Year's Eve
2005-03-25,Good Friday
2005-03-28,Easter Monday
2005-12-26,Boxing Day
2006-04-14,Good Friday
2006-04-17,Easter Monday
2006-05-01,Labour Day
2006-12-25,Christmas
2006-12-26,Boxing Day
2007-01-01,New Year's Day
2007-04-06,Good Friday
2007-04-09,Easter Monday
2007-05-01,Labour Day
2007-05-28,XFRA Holiday
2007-12-24,Christmas Eve
2007-12-25,Christmas
2007-12-26,Boxing Day
2007-12-31,New Year's Eve
2008-01-01,New Year's Day
2008-03-21,Good Friday
2008-03-24,Easter Monday
2008-05-01,Labour Day
2008-12-24,Christmas Eve
2008-12-25,Christmas
2008-12-26,Boxing Day
2008-12-31,New Year's Eve
2009-01-01,New Year's Day
2009-04-10,Good Friday
2009-04-13,Easter Monday
2009-05-01,Labour Day
2009-12-24,Christmas Eve
2009-12-25,Christmas
2009-12-31,New Year's Eve
2010-01-01,New Year's Day
2010-04-02,Good Friday
2010-04-05,Easter Monday
2010-12-24,Christmas Eve
2010-12-31,New Year's Eve
2011-04-22,Good Friday
2011-04-25,Easter Monday
2011-12-26,Boxing Day
2012-04-06,Good Friday
2012-04-09,Easter Monday
2012-05-01,Labour Day
2012-12-24,Christmas Eve
2012-12-25,Christmas
2012-12-26,Boxing Day
2012-12-31,New Year's Eve
2013-01-01,New Year's Day
2013-03-29,Good Friday
2013-04-01,Easter Monday
2013-05-01,Labour Day
2013-12-24,Christmas Eve
2013-12-25,Christmas
2013-12-26,Boxing Day
2013-12-31,New Year's Eve
2014-01-01,New Year's Day
2014-04-18,Good Friday
2014-04-21,Easter Monday
2014-05-01,Labour Day
2014-10-03,Day of German Unity
2014-12-24,Christmas Eve
2014-12-25,Christmas
2014-12-26,Boxing Day
2014-12-31,New Year's Eve
2015-01-01,New Year's Day
2015-04-03,Good Friday
2015-04-06,Easter Monday
2015-05-01,Labour Day
2015-05-25,Whit Monday
2015-12-24,Christmas Eve
2015-12-25,Christmas
2015-12-31,New Year's Eve
2016-01-01,New Year's Day
2016-03-25,Good Friday
2016-03-28,Easter Monday
2016-05-16,Whit Monday
2016-10-03,Day of German Unity
2016-12-26,Boxing Day
2017-04-14,Good Friday
2017-04-17,Easter Monday
2017-05-01,Labour Day
2017-06-05,Whit Monday
2017-10-03,Day of German Unity
2017-10-31,XFRA Holiday
2017-12-25,Christmas
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-03-30,Good Friday
2018-04-02,Easter Monday
2018-05-01,Labour Day
2018-05-21,Whit Monday
2018-10-03,Day of German Unity
2018-12-24,Christmas Eve
2018-12-25,Christmas
2018-12-26,Boxing Day
2018-12-31,New Year's Eve
2019-01-01,New Year's Day
2019-04-19,Good Friday
2019-04-22,Easter Monday
2019-05-01,Labour Day
2019-06-10,Whit Monday
2019-10-03,Day of German Unity
2019-12-24,Christmas Eve
2019-12-25,Christmas
2019-12-26,Boxing Day
2019-12-31,New Year's Eve
2020-01-01,New Year's Day
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-05-01,Labour Day
2020-06-01,Whit Monday
2020-12-24,Christmas Eve
2020-12-25,Christmas
2020-12-31,New Year's Eve
2021-01-01,New Year's Day
2021-04-02,Good Friday
2021-04-05,Easter Monday
2021-05-24,Whit Monday
2021-12-24,Christmas Eve
2021-12-31,New Year's Eve
2022-04-15,Good Friday
2022-04-18,Easter Monday
2022-12-26,Boxing Day
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-05-01,Labour Day
2023-12-25,Christmas
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-05-01,Labour Day
2024-12-24,Christmas Eve
2024-12-25,Christmas
2024-12-26,Boxing Day
2024-12-31,New Year's Eve
2025-01-01,New Year's Day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-05-01,Labour Day
2025-12-24,Christmas Eve
2025-12-25,Christmas
2025-12-26,Boxing Day
2025-12-31,New Year's Eve
2026-01-01,New Year's Day
2026-04-03,Good Friday
2026-04-06,Easter Monday
2026-05-01,Labour Day
2026-12-24,Christmas Eve
2026-12-25,Christmas
2026-12-31,New Year's Eve
2027-01-01,New Year's Day
2027-03-26,Good Friday
2027-03-29,Easter Monday
2027-12-24,Christmas Eve
2027-12-31,New Year's Eve
2028-04-14,Good Friday
2028-04-17,Easter Monday
2028-05-01,Labour Day
2028-12-25,Christmas
2028-12-26,Boxing Day
2029-01-01,New Year's Day
2029-03-30,Good Friday
2029-04-02,Easter Monday
2029-05-01,Labour Day
2029-12-24,Christmas Eve
2029-12-25,Christmas
2029-12-26,Boxing Day
2029-12-31,New Year's Eve
2030-01-01,New Year's Day
2030-04-19,Good Friday
2030-04-22,Easter Monday
2030-05-01,Labour Day
2030-12-24,Christmas Eve
2030-12-25,Christmas
2030-12-26,Boxing Day
2030-12-31,New Year's Eve
