date,name
1996-12-31,New Year's Eve
1997-01-01,New Year's Day
1997-03-28,Good Friday
1997-03-31,Easter Monday
1997-05-01,Labour Day
1997-05-19,Whit Monday
1997-07-14,Bastille Day
1997-12-25,Christmas
1997-12-26,Boxing Day
1997-12-31,New Year's Eve
1998-01-01,New Year's Day
1998-04-10,Good Friday
1998-04-13,Easter Monday
1998-05-01,Labour Day
1998-06-01,Whit Monday
1998-07-14,Bastille Day
1998-12-25,Christmas
1998-12-31,New Year's Eve
1999-01-01,New Year's Day
1999-04-02,Good Friday
1999-04-05,Easter Monday
1999-05-24,Whit Monday
1999-07-14,Bastille Day
1999-12-31,New Year's Eve
2000-04-21,Good Friday
2000-04-24,Easter Monday
2000-05-01,Labour Day
2000-06-12,Whit Monday
2000-07-14,Bastille Day
2000-12-25,Christmas
2000-12-26,Boxing Day
2001-01-01,New Year's Day
2001-04-13,Good Friday
2001-04-16,Easter Monday
2001-05-01,Labour Day
2001-06-04,Whit Monday
2001-12-25,Christmas
2001-12-26,Boxing Day
2001-12-31,New Year's Eve
2002-01-01,New Year's Day
2002-03-29,Good Friday
2002-04-01,Easter Monday
2002-05-01,Labour Day
2002-12-25,Christmas
2002-12-26,Boxing Day
2003-01-01,New Year's Day
2003-04-18,Good Friday
2003-04-21,Easter Monday
2003-05-01,Labour Day
2003-12-25,Christmas
2003-12-26,Boxing Day
2004-01-01,New Year's Day
2004-04-09,Good Friday
2004-04-12,Easter Monday
2005-03-25,Good Friday
2005-03-28,Easter Monday
2005-12-26,Boxing Day
2006-04-14,Good Friday
2006-04-17,Easter Monday
2006-05-01,Labour Day
2006-12-25,Christmas
2006-12-26,Boxing Day
2007-01-01,New Year's Day
2007-04-06,Good Friday
2007-04-09,Easter Monday
2007-05-01,Labour Day
2007-12-25,Christmas
2007-12-26,Boxing Day
2008-01-01,New Year's Day
2008-03-21,Good Friday
2008-03-24,Easter Monday
2008-05-01,Labour Day
2008-12-25,Christmas
2008-12-26,Boxing Day
2009-01-01,New Year's Day
2009-04-10,Good Friday
2009-04-13,Easter Monday
2009-05-01,Labour Day
2009-12-25,Christmas
2010-01-01,New Year's Day
2010-04-02,Good Friday
